Days_since_100th_case,PH_Date_100_Cases,Philippines_cases,Philippines,USA_Date_100_Cases,USA_cases,United States of America,Italy_Date_100_Cases,Italy_cases,Italy,SK_Date_100_Cases,SK_cases,South Korea,2x_everyday,2x_every_2_days,2x_every_3_days,2x_every_week,2x_every_month
0,20/03/14,100,100,20/03/02,100,100,20/02/23,100,100,20/02/20,100,100,100,100,100,100,100
0.1,20/03/15,111,111,20/03/03,103,103,20/02/24,129,129,20/02/21,155,155,200,141,126,110,102
1,20/03/16,29,140,20/03/04,22,125,20/02/25,97,226,20/02/22,190,345,400,200,159,122,105
2,20/03/17,2,142,20/03/05,34,159,20/02/26,93,319,20/02/23,256,601,800,283,200,135,107
3,20/03/18,45,187,20/03/06,74,233,20/02/27,78,397,20/02/24,161,762,1600,400,252,149,110
4,20/03/19,15,202,20/03/07,105,338,20/02/28,250,647,20/02/25,130,892,3200,566,317,164,112
5,20/03/20,28,230,20/03/08,95,433,20/02/29,238,885,20/02/26,254,1146,6400,800,400,181,115
6,20/03/21,0,230,20/03/09,121,554,20/03/01,240,1125,20/02/27,449,1595,12800,1131,504,200,118
7,20/03/22,150,380,20/03/10,200,754,20/03/02,561,1686,20/02/28,427,2022,25600,1600,635,221,120
8,20/03/23,0,380,20/03/11,271,1025,20/03/03,146,1832,20/02/29,909,2931,51200,2263,800,244,123
9,20/03/24,82,462,20/03/12,287,1312,20/03/04,667,2499,20/03/01,595,3526,102400,3200,1008,269,126
10,20/03/25,90,552,20/03/13,351,1663,20/03/05,587,3086,20/03/02,686,4212,204800,4525,1270,297,129
11,20/03/26,84,636,20/03/14,511,2174,20/03/06,769,3855,20/03/03,600,4812,409600,6400,1600,328,132
12,20/03/27,71,707,20/03/15,777,2951,20/03/07,778,4633,20/03/04,516,5328,819200,9051,2016,362,135
13,20/03/28,96,803,20/03/16,823,3774,20/03/08,1247,5880,20/03/05,438,5766,1638400,12800,2540,400,138
14,20/03/29,272,1075,20/03/17,887,4661,20/03/09,1492,7372,20/03/06,518,6284,3276800,18102,3200,442,141
15,,,,20/03/18,1766,6427,20/03/10,1797,9169,20/03/07,483,6767,6553600,25600,4032,488,145
16,,,,20/03/19,2988,9415,20/03/11,977,10146,20/03/08,367,7134,13107200,36204,5080,538,148
17,,,,20/03/20,4835,14250,20/03/12,2313,12459,20/03/09,248,7382,26214400,51200,6400,594,152
18,,,,20/03/21,5374,19624,20/03/13,2651,15110,20/03/10,131,7513,52428800,72408,8063,656,155
19,,,,20/03/22,7123,26747,20/03/14,2547,17657,20/03/11,242,7755,104857600,102400,10159,725,159
20,,,,20/03/23,8459,35206,20/03/15,90,17747,20/03/12,114,7869,209715200,144815,12800,800,162
21,,,,20/03/24,11236,46442,20/03/16,6230,23977,20/03/13,110,7979,419430400,204800,16127,883,166
22,,,,20/03/25,8789,55231,20/03/17,4000,27977,20/03/14,107,8086,838860800,289631,20319,975,170
23,,,,20/03/26,13963,69194,20/03/18,3526,31503,20/03/15,76,8162,1677721600,409600,25600,1077,174
24,,,,20/03/27,16797,85991,20/03/19,4207,35710,20/03/16,74,8236,3355443200,579262,32254,1189,178
25,,,,20/03/28,18695,104686,20/03/20,5322,41032,20/03/17,84,8320,6710886400,819200,40637,1313,182
26,,,,20/03/29,19979,124665,20/03/21,5986,47018,20/03/18,93,8413,13421772800,1158524,51200,1449,187
27,,,,,,,20/03/22,6557,53575,20/03/19,152,8565,26843545600,1638400,64508,1600,191
28,,,,,,,20/03/23,5560,59135,20/03/20,87,8652,53687091200,2317048,81275,1767,195
29,,,,,,,20/03/24,4789,63924,20/03/21,147,8799,107374182400,3276800,102400,1950,200
30,,,,,,,20/03/25,5249,69173,20/03/22,98,8897,214748364800,4634095,129016,2153,205
31,,,,,,,20/03/26,5210,74383,20/03/23,64,8961,429496729600,6553600,162550,2378,209
32,,,,,,,20/03/27,6153,80536,20/03/24,76,9037,858993459200,9268190,204800,2625,214
33,,,,,,,20/03/28,5959,86495,20/03/25,100,9137,1717986918400,13107200,258032,2898,219
34,,,,,,,20/03/29,5974,92469,20/03/26,104,9241,3435973836800,18536380,325100,3200,224
35,,,,,,,,,,20/03/27,91,9332,6871947673600,26214400,409600,3533,230
36,,,,,,,,,,20/03/28,146,9478,13743895347200,37072760,516064,3901,235
,,,,,,,,,,20/03/29,105,9583,2.74878E+13,52428800,650199.4709,4306.880616,240.6050072
,,,,,,,,,,,,,5.49756E+13,74145520.02,819200,4755.181725,246.2288827
,,,,,,,,,,,,,1.09951E+14,104857600,1032127.324,5250.146278,251.98421
