Days_since_10th_death,PH_Date_10_Deaths,Philippines_deaths,Philippines,USA_Date_10_Deaths,USA_deaths,United States of America,Italy_Date_10_Deaths,Italy_deaths,Italy,SK_Date_10_Deaths,SK_deaths,South Korea,2x_everyday,2x_every_2_days,2x_every_3_days,2x_every_week,2x_every_month,,,
0,20/03/15,10,10,20/03/04,10,10,20/02/25,10,10,20/02/25,10,10,10,10,10,10,10,,,
0.1,20/03/16,12,12,20/03/05,11,11,20/02/26,11,11,20/02/26,11,11,20,14,13,11,10,,,
1,20/03/17,0,12,20/03/06,1,12,20/02/27,1,12,20/02/27,1,12,40,20,16,12,10,,,
2,20/03/18,2,14,20/03/07,2,14,20/02/28,5,17,20/02/28,1,13,80,28,20,13,11,,,
3,20/03/19,3,17,20/03/08,3,17,20/02/29,4,21,20/02/29,3,16,160,40,25,15,11,,,
4,20/03/20,1,18,20/03/09,4,21,20/03/01,8,29,20/03/01,1,17,320,57,32,16,11,,,
5,20/03/21,0,18,20/03/10,5,26,20/03/02,6,35,20/03/02,5,22,640,80,40,18,11,,,
6,20/03/22,7,25,20/03/11,2,28,20/03/03,17,52,20/03/03,6,28,1280,113,50,20,12,,,
7,20/03/23,0,25,20/03/12,2,30,20/03/04,28,80,20/03/04,4,32,2560,160,63,22,12,,,
8,20/03/24,8,33,20/03/13,10,40,20/03/05,27,107,20/03/05,3,35,5120,226,80,24,12,,,
9,20/03/25,2,35,20/03/14,7,47,20/03/06,41,148,20/03/06,7,42,10240,320,101,27,13,,,
10,20/03/26,3,38,20/03/15,10,57,20/03/07,49,197,20/03/07,2,44,20480,453,127,30,13,,,
11,20/03/27,7,45,20/03/16,12,69,20/03/08,36,233,20/03/08,6,50,40960,640,160,33,13,,,
12,20/03/28,9,54,20/03/17,16,85,20/03/09,133,366,20/03/09,1,51,81920,905,202,36,14,,,
13,20/03/29,14,68,20/03/18,23,108,20/03/10,98,464,20/03/10,3,54,163840,1280,254,40,14,,,
14,,,,20/03/19,42,150,20/03/11,167,631,20/03/11,6,60,327680,1810,320,44,14,,,
15,,,,20/03/20,0,150,20/03/12,196,827,20/03/12,6,66,655360,2560,403,49,14,,,
16,,,,20/03/21,110,260,20/03/13,189,1016,20/03/13,1,67,1310720,3620,508,54,15,,,
17,,,,20/03/22,80,340,20/03/14,252,1268,20/03/14,5,72,2621440,5120,640,59,15,,,
18,,,,20/03/23,131,471,20/03/15,173,1441,20/03/15,3,75,5242880,7241,806,66,16,,,
